epoch,step,test_acc,test_loss,train_acc,train_loss
0,49,,,0.75,0.7050784826278687
0,99,,,0.875,0.4743272662162781
0,149,,,0.5625,1.3016085624694824
0,199,,,0.75,0.5869812965393066
0,249,,,0.71875,0.7388627529144287
0,299,,,0.90625,0.4307768642902374
0,349,,,0.8125,0.7282515168190002
0,399,,,0.8125,0.5837420225143433
0,449,,,0.75,0.7630400061607361
0,499,,,0.875,0.4854714274406433
0,549,,,0.75,0.8428393006324768
0,599,,,0.75,0.6061174273490906
0,649,,,0.75,0.7638953328132629
0,699,,,0.75,0.597718358039856
0,749,,,0.78125,0.7003260850906372
0,799,,,0.75,0.6401798725128174
0,849,,,0.84375,0.4081919193267822
0,899,,,0.8125,0.7386845350265503
0,949,,,0.875,0.4555186629295349
0,999,,,0.78125,0.5071655511856079
0,1049,,,0.84375,0.45614421367645264
0,1099,,,0.78125,0.6271187663078308
0,1149,,,0.6875,0.7192713022232056
0,1199,,,0.71875,0.6722644567489624
0,1249,,,0.71875,0.6952519416809082
0,1299,,,0.75,0.6463891267776489
0,1349,,,0.78125,0.5824838280677795
0,1399,,,0.84375,0.5593141317367554
0,1449,,,0.875,0.38108283281326294
0,1499,,,0.75,0.6138163208961487
0,1549,,,0.75,0.5490241646766663
0,1599,,,0.8125,0.4872380197048187
0,1649,,,0.71875,0.7165705561637878
0,1699,,,0.8125,0.45602947473526
0,1749,,,0.8125,0.5361557006835938
0,1799,,,0.75,0.7216870784759521
0,1849,,,0.875,0.41962242126464844
1,1899,,,0.75,0.6681143045425415
1,1949,,,0.8125,0.48569899797439575
1,1999,,,0.5625,0.9017972350120544
1,2049,,,0.90625,0.32564783096313477
1,2099,,,0.8125,0.6345075964927673
1,2149,,,0.8125,0.5140079855918884
1,2199,,,0.8125,0.45343491435050964
1,2249,,,0.71875,0.6661662459373474
1,2299,,,0.90625,0.40070056915283203
1,2349,,,0.75,0.672946572303772
1,2399,,,0.875,0.5317462086677551
1,2449,,,0.71875,0.546572208404541
1,2499,,,0.8125,0.6343249082565308
1,2549,,,0.71875,0.7293397188186646
1,2599,,,0.5,0.9423637986183167
1,2649,,,0.71875,0.6285337805747986
1,2699,,,0.84375,0.4798600375652313
1,2749,,,0.84375,0.6128742694854736
1,2799,,,0.78125,0.5836660861968994
1,2849,,,0.78125,0.5939100980758667
1,2899,,,0.8125,0.43937447667121887
1,2949,,,0.90625,0.3491123914718628
1,2999,,,0.78125,0.6276391744613647
1,3049,,,0.84375,0.3752077519893646
1,3099,,,0.84375,0.504860520362854
1,3149,,,0.90625,0.5069165229797363
1,3199,,,0.78125,0.5250274538993835
1,3249,,,0.75,0.6063107252120972
1,3299,,,0.75,0.6810650825500488
1,3349,,,0.75,0.4780607223510742
1,3399,,,0.78125,0.5130869150161743
1,3449,,,0.8125,0.5086278915405273
1,3499,,,0.78125,0.6372746825218201
1,3549,,,0.71875,0.5870453119277954
1,3599,,,0.78125,0.5329326391220093
1,3649,,,0.78125,0.5560045838356018
1,3699,,,0.8125,0.5923911929130554
1,3749,,,0.875,0.3150964677333832
2,3799,,,0.78125,0.5071671009063721
2,3849,,,0.75,0.6214231252670288
2,3899,,,0.75,0.5913718938827515
2,3949,,,0.9375,0.3083840310573578
2,3999,,,0.71875,0.6567099094390869
2,4049,,,0.65625,0.7013342380523682
2,4099,,,0.71875,0.6654650568962097
2,4149,,,0.84375,0.41328164935112
2,4199,,,0.65625,0.7327748537063599
2,4249,,,0.6875,0.7344967126846313
2,4299,,,0.75,0.664880096912384
2,4349,,,0.875,0.36800849437713623
2,4399,,,0.8125,0.42693614959716797
2,4449,,,0.71875,0.7353026270866394
2,4499,,,0.71875,0.6725907325744629
2,4549,,,0.8125,0.5618851780891418
2,4599,,,0.8125,0.41644906997680664
2,4649,,,0.75,0.7203896045684814
2,4699,,,0.8125,0.47072529792785645
2,4749,,,0.875,0.5795081853866577
2,4799,,,0.84375,0.40870124101638794
2,4849,,,0.78125,0.6247527599334717
2,4899,,,0.65625,0.7871464490890503
2,4949,,,0.78125,0.6052040457725525
2,4999,,,0.84375,0.4623350203037262
2,5049,,,0.78125,0.6266274452209473
2,5099,,,0.78125,0.4971497058868408
2,5149,,,0.875,0.4500545561313629
2,5199,,,0.90625,0.2554693818092346
2,5249,,,0.625,0.7746728658676147
2,5299,,,0.6875,0.7019218802452087
2,5349,,,0.8125,0.4913446307182312
2,5399,,,0.84375,0.4601482152938843
2,5449,,,0.84375,0.45668306946754456
2,5499,,,0.71875,0.6082180738449097
2,5549,,,0.65625,0.6873921155929565
2,5599,,,0.90625,0.25609809160232544
2,5649,,,0.8125,0.5562524199485779
3,5699,,,0.75,0.43739548325538635
3,5749,,,0.78125,0.5266482830047607
3,5799,,,0.71875,0.5771423578262329
3,5849,,,0.6875,0.7516360282897949
3,5899,,,0.625,0.8073399066925049
3,5949,,,0.8125,0.5050725936889648
3,5999,,,0.75,0.6089770793914795
3,6049,,,0.8125,0.5452271699905396
3,6099,,,0.84375,0.4508366584777832
3,6149,,,0.65625,0.6419321894645691
3,6199,,,0.75,0.7042291164398193
3,6249,,,0.875,0.41722288727760315
3,6299,,,0.84375,0.36614084243774414
3,6349,,,0.78125,0.4449247717857361
3,6399,,,0.75,0.5038669109344482
3,6449,,,0.65625,0.6973022818565369
3,6499,,,0.71875,0.5171689987182617
3,6549,,,0.84375,0.4668888449668884
3,6599,,,0.6875,0.6464115977287292
3,6649,,,0.6875,0.5969991683959961
3,6699,,,0.8125,0.4926612973213196
3,6749,,,0.84375,0.48903295397758484
3,6799,,,0.625,0.8596360683441162
3,6849,,,0.875,0.38823455572128296
3,6899,,,0.71875,0.6542166471481323
3,6949,,,0.75,0.4966231882572174
3,6999,,,0.84375,0.42251038551330566
3,7049,,,0.6875,0.7340471744537354
3,7099,,,0.75,0.5540783405303955
3,7149,,,0.78125,0.5562719702720642
3,7199,,,0.8125,0.6307298541069031
3,7249,,,0.78125,0.52000892162323
3,7299,,,0.84375,0.36584585905075073
3,7349,,,0.71875,0.6679215431213379
3,7399,,,0.6875,0.5842055082321167
3,7449,,,0.71875,0.5849725008010864
3,7499,,,0.84375,0.48305249214172363
3,7549,,,0.78125,0.6534090042114258
4,7599,,,0.71875,0.8129786252975464
4,7649,,,0.84375,0.36997681856155396
4,7699,,,0.6875,0.7576462030410767
4,7749,,,0.53125,0.9416635036468506
4,7799,,,0.84375,0.341728150844574
4,7849,,,0.9375,0.24644401669502258
4,7899,,,0.84375,0.6499422788619995
4,7949,,,0.78125,0.6605104804039001
4,7999,,,0.875,0.5177728533744812
4,8049,,,0.9375,0.2549368739128113
4,8099,,,0.65625,0.6585314273834229
4,8149,,,0.875,0.47448858618736267
