epoch,step,train_acc,train_loss
0,49,0.78125,0.6389113664627075
0,99,0.65625,1.037705659866333
0,149,0.71875,0.7156422138214111
0,199,0.78125,0.6984559297561646
0,249,0.78125,0.6019526720046997
0,299,0.6875,0.8507177233695984
0,349,0.78125,0.7330954670906067
0,399,0.75,0.7413002252578735
0,449,0.71875,0.8449512720108032
0,499,0.90625,0.421836793422699
0,549,0.875,0.5136959552764893
0,599,0.875,0.5127140283584595
0,649,0.65625,0.8991572260856628
0,699,0.78125,0.6931487321853638
0,749,0.5625,0.9216151237487793
0,799,0.78125,0.7895864844322205
0,849,0.6875,0.9778165817260742
0,899,0.75,0.7158384323120117
0,949,0.78125,0.7514467239379883
0,999,0.78125,0.8028066158294678
0,1049,0.75,0.7024459838867188
0,1099,0.78125,0.7637303471565247
0,1149,0.8125,0.5809000730514526
0,1199,0.75,0.7994066476821899
0,1249,0.75,0.7729572653770447
0,1299,0.8125,0.5908673405647278
0,1349,0.84375,0.5261068344116211
0,1399,0.78125,0.6665231585502625
0,1449,0.875,0.46798175573349
0,1499,0.71875,0.7852834463119507
0,1549,0.78125,0.6890614032745361
0,1599,0.8125,0.5821965336799622
0,1649,0.75,0.7797488570213318
0,1699,0.75,0.812921404838562
0,1749,0.9375,0.4071589708328247
0,1799,0.75,0.7465120553970337
0,1849,0.84375,0.5642924308776855
1,1899,0.84375,0.5842518210411072
1,1949,0.75,0.7622905373573303
1,1999,0.75,0.7113792896270752
1,2049,0.75,0.7513856887817383
1,2099,0.9375,0.3490581810474396
1,2149,0.78125,0.6258389949798584
1,2199,0.65625,0.855205237865448
1,2249,0.8125,0.5807249546051025
1,2299,0.71875,0.7638658285140991
1,2349,0.78125,0.6698381900787354
1,2399,0.90625,0.4736616313457489
1,2449,0.84375,0.5290417671203613
1,2499,0.8125,0.6197339296340942
1,2549,0.78125,0.8379478454589844
1,2599,0.875,0.5140780806541443
1,2649,0.8125,0.5495097637176514
1,2699,0.8125,0.5817970037460327
1,2749,0.8125,0.5431948900222778
1,2799,0.78125,0.6941704750061035
1,2849,0.8125,0.6252840757369995
1,2899,0.84375,0.569553017616272
1,2949,0.75,0.7702280282974243
1,2999,0.71875,0.8264776468276978
1,3049,0.71875,0.7414676547050476
1,3099,0.8125,0.5963982939720154
1,3149,0.90625,0.4030328392982483
1,3199,0.8125,0.6257196664810181
1,3249,0.71875,0.970637321472168
1,3299,0.8125,0.6891723871231079
1,3349,0.6875,0.9122392535209656
1,3399,0.84375,0.5462142825126648
1,3449,0.75,0.8150521516799927
1,3499,0.625,0.9385969638824463
1,3549,0.84375,0.7050105929374695
1,3599,0.65625,0.9784414768218994
1,3649,0.84375,0.4869481027126312
1,3699,0.84375,0.4968213140964508
1,3749,0.71875,0.7670080661773682
2,3799,0.6875,0.8392115235328674
2,3849,0.65625,0.8831360340118408
2,3899,0.6875,0.8894534111022949
2,3949,0.84375,0.5060107707977295
2,3999,0.8125,0.5773582458496094
2,4049,0.75,0.7485761642456055
2,4099,0.84375,0.6497582197189331
2,4149,0.8125,0.6781286001205444
2,4199,0.71875,0.7302271127700806
2,4249,0.75,0.7464262247085571
2,4299,0.71875,0.74056077003479
2,4349,0.8125,0.6117417812347412
2,4399,0.90625,0.43395480513572693
2,4449,0.75,0.7106682062149048
2,4499,0.84375,0.4942004680633545
